"USERID","USERNAME","PASSWORDHASH","EMAIL","ROLE","LASTLOGIN","DATECREATED","DATEMODIFIED","ISACTIVE"
1,"admin","hashed_password_here","admin@ocakes.com","Admin",04/05/2025,04/06/2025,04/06/2025,1
2,"joaquin_garcia","hashed_password_here","joaquin@example.com","Customer",04/04/2025,04/06/2025,04/06/2025,1
3,"maria_santos","hashed_password_here","maria@example.com","Customer",04/03/2025,04/06/2025,04/06/2025,1
4,"jose_reyes","hashed_password_here","jose@example.com","Customer",04/04/2025,04/06/2025,04/06/2025,1
5,"angelica_cruz","hashed_password_here","angelica@example.com","Customer",04/01/2025,04/06/2025,04/06/2025,1
6,"antonio_mendoza","hashed_password_here","antonio@example.com","Customer",04/02/2025,04/06/2025,04/06/2025,1
7,"rosario_lim","hashed_password_here","rosario@example.com","Customer",04/05/2025,04/06/2025,04/06/2025,1
8,"eduardo_gonzales","hashed_password_here","eduardo@example.com","Customer",03/31/2025,04/06/2025,04/06/2025,1
9,"carmela_ramos","hashed_password_here","carmela@example.com","Customer",04/03/2025,04/06/2025,04/06/2025,1
10,"fernando_aquino","hashed_password_here","fernando@example.com","Customer",04/02/2025,04/06/2025,04/06/2025,1
11,"patricia_domingo","hashed_password_here","patricia@example.com","Customer",03/30/2025,04/06/2025,04/06/2025,1
12,"ricardo_tan","hashed_password_here","ricardo@example.com","Customer",04/04/2025,04/06/2025,04/06/2025,1
13,"victoria_castro","hashed_password_here","victoria@example.com","Customer",03/29/2025,04/06/2025,04/06/2025,1
14,"gabriel_pascual","hashed_password_here","gabriel@example.com","Customer",04/01/2025,04/06/2025,04/06/2025,1
15,"isabella_dizon","hashed_password_here","isabella@example.com","Customer",04/03/2025,04/06/2025,04/06/2025,1
