"USERID"	"USERNAME"	"PASSWORDHASH"	"EMAIL"	"ROLE"	"LASTLOGIN"	"DATECREATED"	"DATEMODIFIED"	"ISACTIVE"	"PHONENUMBER"	"DATEOFBIRTH"	"PROFILEIMAGE"	"SHIPPINGADDRESS"	"BILLINGADDRESS"	"NEWSLETTERSUBSCRIBED"	"LASTLOGINDATE"	"FAILEDLOGINATTEMPTS"	"PASSWORDRESETTOKEN"	"TOKENEXPIRYDATE"	"ACCOUNTSTATUS"
2	"admin"	"1f1a9d72af6178f0e23d6722eebdc0da57dcfca12ceb07ec566c0ac5bb9a63e8"	"admin@ocakes.com"	"Admin"	03/27/2025	03/30/2025	03/30/2025	1	""		""	""	""	0		0	""		"Active"
4	"johndoe"	"5JEUuQek35DEUb+WzMCEa+2YEXX09oq87VHdWPk76UI="	"john.doe@example.com"	"Customer"	03/28/2025	03/30/2025	04/01/2025	0	""		""	""	""	0		0	""		"Active"
6	"janesmith"	"hashed_password_here"	"jane.smith@example.com"	"Customer"	03/29/2025	03/30/2025	03/30/2025	1	""		""	""	""	0		0	""		"Active"
8	"mikebrown"	"7QRrJ62LcocwAFSkuXWvnXRUNoJjpY39GuoeLJICisc="	"mike.brown@example.com"	"Customer"	03/25/2025	03/30/2025	04/02/2025	1	""		""	""	""	0		0	""		"Active"
10	"sarahlee"	"hashed_password_here"	"sarah.lee@example.com"	"Customer"	03/23/2025	03/30/2025	03/30/2025	0	""		""	""	""	0		0	""		"Active"
12	"olduser"	"hashed_password_here"	"olduser@example.com"	"Customer"	03/20/2025	03/30/2025	03/30/2025	0	""		""	""	""	0		0	""		"Active"
14	"newuser"	"hashed_password_here"	"newuser@example.com"	"Customer"	03/28/2025	03/30/2025	03/30/2025	1	""		""	""	""	0		0	""		"Active"
20	"Aaron"	"hashed_password_here"	"aaronmecate182@gmail.com"	"Admin"	03/27/2025	03/30/2025	03/30/2025	1	""		""	""	""	0		0	""		"Active"
22	"testuser_old"	"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"	"testuser_old@example.com"	"Customer"		01/15/2025	03/30/2025	1	""		""	""	""	0		0	""		"Active"
23	"testuser_new"	"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"	"testuser_new@example.com"	"Customer"		02/14/2025	03/30/2025	1	""		""	""	""	0		0	""		"Active"
24	"testuser1_recent"	"tb0aiGlEt1sO27VWYBNfXMa9gGeALnUDdRs/6JF2Hbg="	"testuser1_recent@example.com"	"Customer"		03/30/2025	03/30/2025	1	""		""	""	""	0		0	""		"Active"
25	"testuser2_recent"	"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"	"testuser2_recent@example.com"	"Customer"		03/30/2025	03/30/2025	1	""		""	""	""	0		0	""		"Active"
26	"testuser3_recent"	"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"	"testuser3_recent@example.com"	"Customer"		03/30/2025	03/30/2025	1	""		""	""	""	0		0	""		"Active"
27	"testuser4_old"	"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"	"testuser4_old@example.com"	"Customer"		03/30/2025	03/30/2025	1	""		""	""	""	0		0	""		"Active"
28	"testuser5_old"	"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"	"testuser5_old@example.com"	"Customer"		03/30/2025	03/30/2025	1	""		""	""	""	0		0	""		"Active"
29	"testuser6_old"	"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92"	"testuser6_old@example.com"	"Customer"		03/30/2025	03/30/2025	1	""		""	""	""	0		0	""		"Active"
41	"zen"	"password123"	"zenitsu@example.com"	"Customer"		04/05/2025	04/05/2025	1	"123-456-7890"		""	"123 Main St, Anytown"	"123 Main St, Anytown"	0		0	""		"Active"
42	"qwen"	"password456"	"qwen.125@example.com"	"Customer"		04/05/2025	04/05/2025	1	"123-456-7891"		""	"124 Main St, Anytown"	"124 Main St, Anytown"	0		0	""		"Active"
44	"sarahsmith"	"password789"	"sarah.smith@example.com"	"Customer"		04/05/2025	04/05/2025	1	"123-456-7893"		""	"200 Oak St, Anytown"	"200 Oak St, Anytown"	0		0	""		"Active"
45	"mikeross"	"password321"	"mike.ross@example.com"	"Customer"		04/05/2025	04/05/2025	1	"123-456-7894"		""	"300 Pine St, Anytown"	"300 Pine St, Anytown"	0		0	""		"Active"
47	"janedoe"	"password456"	"jane.doe@example.com"	"Customer"		04/05/2025	04/05/2025	1	"123-456-7891"		""	"124 Main St, Anytown"	"124 Main St, Anytown"	0		0	""		"Active"
61	"testuser1"	"hashed_password"	"testuser1@example.com"	"Customer"		04/05/2025	04/05/2025	1	""		""	""	""	0		0	""		"Active"
62	"testuser2"	"hashed_password"	"testuser2@example.com"	"Customer"		04/05/2025	04/05/2025	1	""		""	""	""	0		0	""		"Active"
63	"testuser3"	"hashed_password"	"testuser3@example.com"	"Customer"		04/05/2025	04/05/2025	1	""		""	""	""	0		0	""		"Active"
